game_id,contestant_id,contestant_name,contestant_intro,occupation_phrase,occupation_text_for_model,is_winner,contestant_position,air_date,season_name,episode_num,clue_count,category_count,j_clue_count,dj_clue_count,fj_clue_count,proposed_onet_soc_code,proposed_soc_code,proposed_soc_title,proposed_soc_url,soc_uncertainty_level,soc_mapping_method,optional_soc_profile_text,cip_candidate_count,candidate_cip_codes,cip_mapping_status,clue_source_set
6305,1663,Elaine Baker,"an administrator originally from Salem, Oregon",administrator,administrator,0,2,1984-11-27,Season 1,57,50,12,23,26,1,11-9199.00,11-9199,"Managers, All Other",https://www.onetonline.org/link/summary/11-9199.00,low_broad_role,Broad occupation without specialty,administrator. All managers not listed separately.,127,09.0702|11.1005|25.0101|25.0103|30.0601|30.1202|30.3901|30.4001|30.4201|30.4501|30.4601|30.4701|30.5101|30.5201|30.5202|30.5203|39.0801|42.0101|42.2701|42.2702|42.2703|42.2704|42.2705|42.2706|42.2707|42.2708|42.2709|42.2710|42.2799|42.2801|42.2802|42.2803|42.2804|42.2805|42.2806|42.2807|42.2808|42.2809|42.2810|42.2811|42.2812|42.2813|42.2814|42.2899|42.9999|43.0100|43.0103|43.0115|43.0202|43.0301|43.0302|43.0303|43.0304|43.0404|44.0401|44.0402|44.0499|45.0101|45.0102|45.0103|45.0199|45.0201|45.0202|45.0203|45.0204|45.0205|45.0299|45.0301|45.0401|45.0501|45.0502|45.0599|45.0601|45.0602|45.0603|45.0604|45.0605|45.0699|45.0701|45.0702|45.0799|45.0901|45.0902|45.0999|45.1001|45.1002|45.1003|45.1004|45.1099|45.1101|45.1102|45.1103|45.1199|45.1201|45.1301|45.1501|45.9999|50.1001|50.1002|50.1004|50.1099|51.0719|51.2009|52.0101|52.0201|52.0206|52.0210|52.0211|52.0213|52.0214|52.0216|52.0701|52.0702|52.0703|52.0704|52.0903|52.0999|52.2101|54.0101|54.0102|54.0103|54.0104|54.0105|54.0106|54.0107|54.0108|54.0199,multiple_possible_programs,wolle_season1_42
6305,11979,Mark Loundy,"a photojournalist from Diamond Bar, California",photojournalist,photojournalist,0,3,1984-11-27,Season 1,57,50,12,23,26,1,27-3023.00,27-3023,"News Analysts, Reporters, and Journalists",https://www.onetonline.org/link/summary/27-3023.00,very_low_approximate,Closest occupation title by character similarity (0.471); unverified,"photojournalist. Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.",14,01.0802|09.0100|09.0102|09.0401|09.0402|09.0404|09.0405|09.0406|09.0407|09.0499|09.0701|09.0904|09.0906|09.0907,multiple_possible_programs,wolle_season1_42
6304,11979,Mark Loundy,"a photojournalist from Diamond Bar, California",photojournalist,photojournalist,0,1,1984-11-28,Season 1,58,51,12,24,26,1,27-3023.00,27-3023,"News Analysts, Reporters, and Journalists",https://www.onetonline.org/link/summary/27-3023.00,very_low_approximate,Closest occupation title by character similarity (0.471); unverified,"photojournalist. Narrate or write news stories, reviews, or commentary for print, broadcast, or other communications media such as newspapers, magazines, radio, or television. May collect and analyze information through interview, investigation, or observation.",14,01.0802|09.0100|09.0102|09.0401|09.0402|09.0404|09.0405|09.0406|09.0407|09.0499|09.0701|09.0904|09.0906|09.0907,multiple_possible_programs,wolle_season1_42
6304,11982,Alice Strauss,"a chemical engineer from Wilmington, California",chemical engineer,chemical engineer,1,2,1984-11-28,Season 1,58,51,12,24,26,1,17-2041.00,17-2041,Chemical Engineers,https://www.onetonline.org/link/summary/17-2041.00,high_exact_title,Initial title or curated synonym,"chemical engineer. Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",8,14.0601|14.0701|14.0702|14.0799|14.3201|14.4001|14.4301|14.4401,multiple_possible_programs,wolle_season1_42
6304,11983,Don Clark,"a Spanish instructor from Ventura, California",spanish instructor,spanish instructor,0,3,1984-11-28,Season 1,58,51,12,24,26,1,25-3099.00,25-3099,"Teachers and Instructors, All Other",https://www.onetonline.org/link/summary/25-3099.00,low_contextual_role,unspecified teaching level,spanish instructor. All teachers and instructors not listed separately.,9,13.0201|13.0202|13.0203|13.1207|13.1208|13.1211|13.1304|13.1399|13.9999,multiple_possible_programs,wolle_season1_42
6302,11977,Leslie Stucke,"a family counselor from San Diego, California (whose 1-day cash winnings total $8,100)",family counselor,family counselor,1,1,1984-12-03,Season 1,61,52,13,26,25,1,21-1019.00,21-1019,"Counselors, All Other",https://www.onetonline.org/link/summary/21-1019.00,very_low_approximate,Closest occupation title by character similarity (0.584); unverified,family counselor. All counselors not listed separately.,8,30.5301|39.0701|39.0799|42.2803|44.0701|51.1506|51.1510|52.1006,multiple_possible_programs,wolle_season1_42
6302,11973,Daniel Elias,an advertising copywriter from New York City,advertising copywriter,advertising copywriter,0,2,1984-12-03,Season 1,61,52,13,26,25,1,41-3011.00,41-3011,Advertising Sales Agents,https://www.onetonline.org/link/summary/41-3011.00,very_low_approximate,Closest occupation title by character similarity (0.625); unverified,"advertising copywriter. Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",1,52.1804,one_crosswalk_program,wolle_season1_42
6302,11978,Nicholas Vallas,"a waiter originally from Cambridge, Massachusetts",waiter,waiter,0,3,1984-12-03,Season 1,61,52,13,26,25,1,35-3031.00,35-3031,Waiters and Waitresses,https://www.onetonline.org/link/summary/35-3031.00,medium_curated_match,Initial title or curated synonym,waiter. Take orders and serve food and beverages to patrons at tables in dining establishment.,0,,no_crosswalk_program,wolle_season1_42
6295,11906,Ric Moser,"a printing broker from Raymore, Missouri",printing broker,printing broker,0,1,1984-12-12,Season 1,68,53,13,28,24,1,51-5112.00,51-5112,Printing Press Operators,https://www.onetonline.org/link/summary/51-5112.00,very_low_approximate,Closest occupation title by character similarity (0.548); unverified,"printing broker. Set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines. Includes short-run offset printing presses.",4,10.0302|10.0305|10.0307|10.0399,multiple_possible_programs,wolle_season1_42
6295,11963,Pat Hansen,"a book editor from Beverly Hills, California",book editor,book editor,0,2,1984-12-12,Season 1,68,53,13,28,24,1,27-3041.00,27-3041,Editors,https://www.onetonline.org/link/summary/27-3041.00,low_contextual_role,editing role,"book editor. Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",18,09.0100|09.0102|09.0401|09.0402|09.0908|09.1001|09.9999|23.1301|23.1302|23.1303|23.1304|23.1399|23.1401|23.1405|23.1499|52.0501|52.0502|52.0599,multiple_possible_programs,wolle_season1_42
6295,11964,Ralph Moore,"an interior decorator from Los Angeles, California",interior decorator,interior decorator,1,3,1984-12-12,Season 1,68,53,13,28,24,1,27-1025.00,27-1025,Interior Designers,https://www.onetonline.org/link/summary/27-1025.00,very_low_approximate,Closest occupation title by character similarity (0.538); unverified,"interior decorator. Plan, design, and furnish the internal space of rooms or buildings. Design interior environments or create physical layouts that are practical, aesthetic, and conducive to the intended purposes. May specialize in a particular field, style, or phase of interior design.",7,04.0402|04.0501|19.0604|19.0699|19.0904|30.3701|50.0408,multiple_possible_programs,wolle_season1_42
6294,11960,Chris Hamilton,"a real estate salesman originally from Middlebury, Vermont",real estate salesman,real estate salesman,0,1,1984-12-14,Season 1,70,50,13,25,24,1,41-9022.00,41-9022,Real Estate Sales Agents,https://www.onetonline.org/link/summary/41-9022.00,very_low_approximate,Closest occupation title by character similarity (0.785); unverified,"real estate salesman. Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",2,04.1001|52.1501,multiple_possible_programs,wolle_season1_42
6294,11961,Melinda Brownfield,"a secretary from Westlake Village, California",secretary,secretary,1,2,1984-12-14,Season 1,70,50,13,25,24,1,43-6014.00,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",https://www.onetonline.org/link/summary/43-6014.00,medium_curated_match,Manually selected occupation synonym,"secretary. Perform routine administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers.",2,52.0401|52.0402,multiple_possible_programs,wolle_season1_42
6294,11962,Bill Hand,"a data processing manager from Northridge, California",data processing manager,data processing manager,0,3,1984-12-14,Season 1,70,50,13,25,24,1,11-9199.00,11-9199,"Managers, All Other",https://www.onetonline.org/link/summary/11-9199.00,low_contextual_role,unspecified management role,data processing manager. All managers not listed separately.,127,09.0702|11.1005|25.0101|25.0103|30.0601|30.1202|30.3901|30.4001|30.4201|30.4501|30.4601|30.4701|30.5101|30.5201|30.5202|30.5203|39.0801|42.0101|42.2701|42.2702|42.2703|42.2704|42.2705|42.2706|42.2707|42.2708|42.2709|42.2710|42.2799|42.2801|42.2802|42.2803|42.2804|42.2805|42.2806|42.2807|42.2808|42.2809|42.2810|42.2811|42.2812|42.2813|42.2814|42.2899|42.9999|43.0100|43.0103|43.0115|43.0202|43.0301|43.0302|43.0303|43.0304|43.0404|44.0401|44.0402|44.0499|45.0101|45.0102|45.0103|45.0199|45.0201|45.0202|45.0203|45.0204|45.0205|45.0299|45.0301|45.0401|45.0501|45.0502|45.0599|45.0601|45.0602|45.0603|45.0604|45.0605|45.0699|45.0701|45.0702|45.0799|45.0901|45.0902|45.0999|45.1001|45.1002|45.1003|45.1004|45.1099|45.1101|45.1102|45.1103|45.1199|45.1201|45.1301|45.1501|45.9999|50.1001|50.1002|50.1004|50.1099|51.0719|51.2009|52.0101|52.0201|52.0206|52.0210|52.0211|52.0213|52.0214|52.0216|52.0701|52.0702|52.0703|52.0704|52.0903|52.0999|52.2101|54.0101|54.0102|54.0103|54.0104|54.0105|54.0106|54.0107|54.0108|54.0199,multiple_possible_programs,wolle_season1_42
6292,11903,Jerry Frankel,"a musician originally from Buffalo, New York (whose 1-day cash winnings total $3,800)",musician,musician,0,1,1984-12-28,Season 1,80,55,13,29,25,1,27-2042.00,27-2042,Musicians and Singers,https://www.onetonline.org/link/summary/27-2042.00,medium_curated_match,Initial title or curated synonym,"musician. Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording.",12,50.0509|50.0901|50.0903|50.0907|50.0908|50.0910|50.0911|50.0912|50.0914|50.0915|50.0916|50.0999,multiple_possible_programs,wolle_season1_42
6292,11957,Emmett Maguire,a contract negotiator originally from the Bronx,contract negotiator,contract negotiator,0,2,1984-12-28,Season 1,80,55,13,29,25,1,13-1074.00,13-1074,Farm Labor Contractors,https://www.onetonline.org/link/summary/13-1074.00,very_low_approximate,Closest occupation title by character similarity (0.489); unverified,"contract negotiator. Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",0,,no_crosswalk_program,wolle_season1_42
6292,11958,Jody Johnston,"a theater director from Las Vegas, Nevada",theater director,theater director,1,3,1984-12-28,Season 1,80,55,13,29,25,1,11-9199.00,11-9199,"Managers, All Other",https://www.onetonline.org/link/summary/11-9199.00,low_contextual_role,unspecified management role,theater director. All managers not listed separately.,127,09.0702|11.1005|25.0101|25.0103|30.0601|30.1202|30.3901|30.4001|30.4201|30.4501|30.4601|30.4701|30.5101|30.5201|30.5202|30.5203|39.0801|42.0101|42.2701|42.2702|42.2703|42.2704|42.2705|42.2706|42.2707|42.2708|42.2709|42.2710|42.2799|42.2801|42.2802|42.2803|42.2804|42.2805|42.2806|42.2807|42.2808|42.2809|42.2810|42.2811|42.2812|42.2813|42.2814|42.2899|42.9999|43.0100|43.0103|43.0115|43.0202|43.0301|43.0302|43.0303|43.0304|43.0404|44.0401|44.0402|44.0499|45.0101|45.0102|45.0103|45.0199|45.0201|45.0202|45.0203|45.0204|45.0205|45.0299|45.0301|45.0401|45.0501|45.0502|45.0599|45.0601|45.0602|45.0603|45.0604|45.0605|45.0699|45.0701|45.0702|45.0799|45.0901|45.0902|45.0999|45.1001|45.1002|45.1003|45.1004|45.1099|45.1101|45.1102|45.1103|45.1199|45.1201|45.1301|45.1501|45.9999|50.1001|50.1002|50.1004|50.1099|51.0719|51.2009|52.0101|52.0201|52.0206|52.0210|52.0211|52.0213|52.0214|52.0216|52.0701|52.0702|52.0703|52.0704|52.0903|52.0999|52.2101|54.0101|54.0102|54.0103|54.0104|54.0105|54.0106|54.0107|54.0108|54.0199,multiple_possible_programs,wolle_season1_42
6291,11955,Phil Wilson,"a word processor from Anaheim, California (whose 1-day cash winnings total $7,795)",word processor,word processor,0,1,1984-12-31,Season 1,81,50,12,24,26,0,43-9022.00,43-9022,Word Processors and Typists,https://www.onetonline.org/link/summary/43-9022.00,very_low_approximate,Closest occupation title by character similarity (0.708); unverified,"word processor. Use word processor, computer, or typewriter to type letters, reports, forms, or other material from rough draft, corrected copy, or voice recording. May perform other clerical duties as assigned.",2,11.0602|52.0408,multiple_possible_programs,cluebase_fallback
6291,10742,Liz Caccese,"a steam plant control operator originally from Chicago, Illinois",steam plant control operator,steam plant control operator,0,2,1984-12-31,Season 1,81,50,12,24,26,0,51-8092.00,51-8092,Gas Plant Operators,https://www.onetonline.org/link/summary/51-8092.00,very_low_approximate,Closest occupation title by character similarity (0.457); unverified,steam plant control operator. Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,1,15.0903,one_crosswalk_program,cluebase_fallback
6291,11956,Mike Pick,"an auditor from Arcadia, California",auditor,auditor,1,3,1984-12-31,Season 1,81,50,12,24,26,0,47-4011.01,47-4011,Energy Auditors,https://www.onetonline.org/link/summary/47-4011.01,very_low_approximate,Closest occupation title by character similarity (0.674); unverified,"auditor. Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.",1,46.0403,one_crosswalk_program,cluebase_fallback
6289,11950,Tony Hess,"a data processor from Cleveland, Ohio (whose 1-day cash winnings total $8,500)",data processor,data processor,0,1,1985-02-08,Season 1,110,52,13,26,25,1,43-5053.00,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",https://www.onetonline.org/link/summary/43-5053.00,very_low_approximate,Closest occupation title by character similarity (0.504); unverified,"data processor. Prepare incoming and outgoing mail for distribution for the United States Postal Service (USPS). Examine, sort, and route mail. Load, operate, and occasionally adjust and repair mail processing, sorting, and canceling machinery. Keep records of shipments, pouches, and sacks, and perform other duties related to mail handling within the postal service. Includes postal service mail sorters and processors employed by USPS contractors.",0,,no_crosswalk_program,wolle_season1_42
6289,11951,Pat Gaynor,"a college professor from Buena Park, California",college professor,college professor,0,2,1985-02-08,Season 1,110,52,13,26,25,1,25-1199.00,25-1199,"Postsecondary Teachers, All Other",https://www.onetonline.org/link/summary/25-1199.00,low_contextual_role,postsecondary teaching,college professor. All postsecondary teachers not listed separately.,44,12.0509|13.1211|15.1503|16.1602|23.1301|23.1302|23.1303|23.1304|24.0101|24.0102|24.0103|30.0101|30.0501|30.0601|30.1201|30.1299|30.1401|30.1501|30.1801|30.2501|30.2502|30.2599|30.2601|30.2901|30.3001|30.3201|30.3301|30.3401|30.5201|30.5202|30.5203|30.5301|30.7001|30.7099|30.7101|30.7103|30.7199|40.1099|40.9999|43.0304|50.0411|51.2706|51.3204|51.3299,multiple_possible_programs,wolle_season1_42
6289,11952,Ted Brown,"a teacher originally from Colorado Springs, Colorado",teacher,teacher,1,3,1985-02-08,Season 1,110,52,13,26,25,1,25-3099.00,25-3099,"Teachers and Instructors, All Other",https://www.onetonline.org/link/summary/25-3099.00,low_broad_role,Broad occupation without specialty,teacher. All teachers and instructors not listed separately.,9,13.0201|13.0202|13.0203|13.1207|13.1208|13.1211|13.1304|13.1399|13.9999,multiple_possible_programs,wolle_season1_42
6288,10733,Bruce Fauman,"a university administrator and professor from Vancouver, British Columbia (whose 2-day cash winnings total $17,399)",university administrator and professor,university administrator and professor,0,1,1985-03-04,Season 1,126,51,12,25,25,1,25-1199.00,25-1199,"Postsecondary Teachers, All Other",https://www.onetonline.org/link/summary/25-1199.00,low_multiple_roles,postsecondary teaching,university administrator and professor. All postsecondary teachers not listed separately.,44,12.0509|13.1211|15.1503|16.1602|23.1301|23.1302|23.1303|23.1304|24.0101|24.0102|24.0103|30.0101|30.0501|30.0601|30.1201|30.1299|30.1401|30.1501|30.1801|30.2501|30.2502|30.2599|30.2601|30.2901|30.3001|30.3201|30.3301|30.3401|30.5201|30.5202|30.5203|30.5301|30.7001|30.7099|30.7101|30.7103|30.7199|40.1099|40.9999|43.0304|50.0411|51.2706|51.3204|51.3299,multiple_possible_programs,wolle_season1_42
6288,11948,Yvonne Buchanan,"an administrative clerk originally from Phoenix, Arizona",administrative clerk,administrative clerk,1,2,1985-03-04,Season 1,126,51,12,25,25,1,11-3012.00,11-3012,Administrative Services Managers,https://www.onetonline.org/link/summary/11-3012.00,very_low_approximate,Closest occupation title by character similarity (0.673); unverified,"administrative clerk. Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",7,01.8202|51.0711|52.0101|52.0201|52.0202|52.0204|52.0207,multiple_possible_programs,wolle_season1_42
6288,11949,Bob Boed,"an attorney from Arlington, Virginia",attorney,attorney,0,3,1985-03-04,Season 1,126,51,12,25,25,1,23-1011.00,23-1011,Lawyers,https://www.onetonline.org/link/summary/23-1011.00,medium_curated_match,Initial title or curated synonym,"attorney. Represent clients in criminal and civil litigation and other legal proceedings, draw up legal documents, or manage or advise clients on legal transactions. May specialize in a single area or may practice broadly in many areas of law.",26,22.0101|22.0201|22.0202|22.0203|22.0204|22.0205|22.0206|22.0207|22.0208|22.0209|22.0210|22.0211|22.0212|22.0213|22.0214|22.0215|22.0216|22.0217|22.0218|22.0219|22.0220|22.0221|22.0222|22.0223|22.0224|22.0299,multiple_possible_programs,wolle_season1_42
6285,11941,Mike Day,"a finance and marketing MBA student from Columbus, Ohio (whose 1-day cash winnings total $11,700)",finance and marketing mba student,finance and marketing mba student,0,1,1985-04-10,Season 1,153,50,13,24,25,1,11-2021.00,11-2021,Marketing Managers,https://www.onetonline.org/link/summary/11-2021.00,very_low_multiple_roles,Closest occupation title by character similarity (0.580); unverified,"finance and marketing mba student. Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",9,19.0203|19.0905|51.2011|52.1401|52.1402|52.1403|52.1404|52.1499|52.1910,multiple_possible_programs,wolle_season1_42
6285,11942,Monte Wasch,"a sales executive from New York City, New York",sales executive,sales executive,1,2,1985-04-10,Season 1,153,50,13,24,25,1,11-9199.00,11-9199,"Managers, All Other",https://www.onetonline.org/link/summary/11-9199.00,low_contextual_role,unspecified management role,sales executive. All managers not listed separately.,127,09.0702|11.1005|25.0101|25.0103|30.0601|30.1202|30.3901|30.4001|30.4201|30.4501|30.4601|30.4701|30.5101|30.5201|30.5202|30.5203|39.0801|42.0101|42.2701|42.2702|42.2703|42.2704|42.2705|42.2706|42.2707|42.2708|42.2709|42.2710|42.2799|42.2801|42.2802|42.2803|42.2804|42.2805|42.2806|42.2807|42.2808|42.2809|42.2810|42.2811|42.2812|42.2813|42.2814|42.2899|42.9999|43.0100|43.0103|43.0115|43.0202|43.0301|43.0302|43.0303|43.0304|43.0404|44.0401|44.0402|44.0499|45.0101|45.0102|45.0103|45.0199|45.0201|45.0202|45.0203|45.0204|45.0205|45.0299|45.0301|45.0401|45.0501|45.0502|45.0599|45.0601|45.0602|45.0603|45.0604|45.0605|45.0699|45.0701|45.0702|45.0799|45.0901|45.0902|45.0999|45.1001|45.1002|45.1003|45.1004|45.1099|45.1101|45.1102|45.1103|45.1199|45.1201|45.1301|45.1501|45.9999|50.1001|50.1002|50.1004|50.1099|51.0719|51.2009|52.0101|52.0201|52.0206|52.0210|52.0211|52.0213|52.0214|52.0216|52.0701|52.0702|52.0703|52.0704|52.0903|52.0999|52.2101|54.0101|54.0102|54.0103|54.0104|54.0105|54.0106|54.0107|54.0108|54.0199,multiple_possible_programs,wolle_season1_42
6285,11943,Mimi Schmidt,"a photo stylist from Malibu, California",photo stylist,photo stylist,0,3,1985-04-10,Season 1,153,50,13,24,25,1,27-4021.00,27-4021,Photographers,https://www.onetonline.org/link/summary/27-4021.00,very_low_weak_guess,Closest occupation title by character similarity (0.291); unverified,"photo stylist. Photograph people, landscapes, merchandise, or other subjects. May use lighting equipment to enhance a subject's appearance. May use editing software to produce finished images and prints. Includes commercial and industrial photographers, scientific photographers, and photojournalists.",6,09.0404|50.0101|50.0102|50.0406|50.0605|50.0701,multiple_possible_programs,wolle_season1_42
6284,11938,Matt Hubbard,"a computer game designer from Palo Alto, California (whose 3-day cash winnings total $25,550)",computer game designer,computer game designer,0,1,1985-04-19,Season 1,160,53,13,29,23,1,15-1255.01,15-1255,Video Game Designers,https://www.onetonline.org/link/summary/15-1255.01,very_low_approximate,Closest occupation title by character similarity (0.628); unverified,"computer game designer. Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",13,09.0702|11.0101|11.0104|11.0105|11.0201|11.0401|11.0701|11.0801|11.1004|30.3101|50.0401|50.0409|52.1404,multiple_possible_programs,wolle_season1_42
6284,11939,Bruce Rhodewalt,"a musician from Los Angeles, California",musician,musician,0,2,1985-04-19,Season 1,160,53,13,29,23,1,27-2042.00,27-2042,Musicians and Singers,https://www.onetonline.org/link/summary/27-2042.00,medium_curated_match,Initial title or curated synonym,"musician. Play one or more musical instruments or sing. May perform on stage, for broadcasting, or for sound or video recording.",12,50.0509|50.0901|50.0903|50.0907|50.0908|50.0910|50.0911|50.0912|50.0914|50.0915|50.0916|50.0999,multiple_possible_programs,wolle_season1_42
